iter	Passed	Remaining
404	9073	13329
405	9100	13314
406	9126	13296
407	9156	13286
408	9169	13249
409	9190	13225
410	9214	13205
411	9234	13179
412	9258	13159
413	9285	13143
414	9307	13120
415	9333	13103
416	9357	13082
417	9382	13064
418	9406	13042
419	9431	13023
420	9450	12997
421	9475	12978
422	9501	12960
423	9522	12936
424	9544	12913
425	9569	12893
426	9597	12879
427	9617	12853
428	9642	12834
429	9666	12813
430	9679	12779
431	9699	12753
432	9720	12729
433	9729	12688
434	9751	12665
435	9773	12643
436	9792	12616
437	9815	12594
438	9830	12562
439	9853	12540
440	9876	12518
441	9902	12500
442	9925	12479
443	9947	12457
444	9959	12421
445	9982	12400
446	9993	12363
447	10015	12339
448	10030	12308
449	10046	12279
450	10068	12256
451	10092	12236
452	10118	12218
453	10129	12182
454	10151	12159
455	10172	12135
456	10179	12095
457	10192	12062
458	10197	12019
459	10222	12000
460	10230	11961
461	10253	11940
462	10279	11922
463	10305	11904
464	10328	11883
465	10339	11848
466	10353	11816
467	10372	11791
468	10389	11762
469	10399	11726
470	10424	11707
471	10447	11687
472	10478	11674
473	10508	11661
474	10532	11641
475	10541	11604
476	10565	11584
477	10591	11566
478	10610	11541
479	10641	11528
480	10666	11508
481	10713	11513
482	10739	11495
483	10754	11466
484	10783	11450
485	10815	11438
486	10839	11418
487	10866	11401
488	10895	11385
489	10927	11373
490	10957	11359
491	10987	11344
492	11010	11323
493	11050	11318
494	11076	11299
495	11114	11294
496	11127	11261
497	11154	11244
498	11185	11230
499	11214	11214
500	11304	11259
501	11324	11234
502	11350	11215
503	11374	11193
504	11400	11175
505	11419	11148
506	11445	11129
507	11469	11108
508	11497	11091
509	11504	11053
510	11527	11031
511	11598	11054
512	11635	11045
513	11661	11025
514	11687	11006
515	11711	10984
516	11738	10966
517	11769	10951
518	11787	10924
519	11811	10902
520	11837	10883
521	11865	10865
522	11880	10835
523	11900	10810
524	11921	10786
525	11953	10771
526	11987	10758
527	12023	10747
528	12032	10713
529	12052	10688
530	12085	10674
531	12112	10655
532	12127	10625
533	12144	10598
534	12165	10573
535	12192	10555
536	12198	10517
537	12219	10493
538	12250	10477
539	12270	10452
540	12296	10432
541	12323	10413
542	12341	10387
543	12365	10365
544	12391	10344
545	12418	10325
546	12446	10307
547	12456	10274
548	12481	10253
549	12501	10228
550	12525	10206
551	12548	10184
552	12570	10161
553	12581	10128
554	12601	10103
555	12624	10081
556	12650	10061
557	12681	10044
558	12704	10022
559	12730	10002
560	12752	9979
561	12784	9963
562	12810	9943
563	12833	9920
564	12855	9897
565	12881	9876
566	12904	9854
567	12928	9832
568	12952	9811
569	12980	9792
570	13007	9772
571	13037	9755
572	13063	9734
573	13087	9712
574	13115	9693
575	13145	9676
576	13173	9657
577	13195	9634
578	13222	9614
579	13248	9593
580	13275	9573
581	13297	9550
582	13323	9530
583	13344	9505
584	13351	9471
585	13374	9448
586	13395	9424
587	13418	9402
588	13441	9379
589	13464	9356
590	13486	9333
591	13510	9311
592	13524	9282
593	13545	9258
594	13569	9236
595	13584	9208
596	13598	9179
597	13629	9162
598	13645	9134
599	13667	9111
600	13691	9089
601	13727	9075
602	13760	9059
603	13796	9045
604	13826	9027
605	13854	9007
606	13878	8985
607	13902	8963
608	13913	8933
609	13945	8916
610	13968	8893
611	13996	8873
612	14009	8844
613	14041	8827
614	14067	8806
615	14100	8789
616	14131	8771
617	14160	8752
618	14191	8734
619	14220	8715
620	14241	8691
621	14256	8663
622	14278	8640
623	14297	8614
624	14310	8586
625	14335	8564
626	14360	8543
627	14401	8530
628	14427	8509
629	14460	8492
630	14494	8476
631	14528	8459
632	14557	8439
633	14588	8421
634	14614	8400
635	14640	8379
636	14653	8350
637	14685	8332
638	14712	8311
639	14726	8283
640	14751	8261
641	14798	8252
642	14829	8233
643	14855	8211
644	14886	8193
645	14919	8175
646	14946	8154
647	14974	8134
648	15008	8116
649	15055	8106
650	15086	8087
651	15111	8065
652	15139	8045
653	15169	8025
654	15182	7996
655	15205	7973
656	15233	7952
657	15263	7933
658	15305	7919
659	15336	7900
660	15373	7884
661	15405	7865
662	15424	7840
663	15458	7822
664	15485	7800
665	15513	7780
666	15539	7758
667	15567	7736
668	15591	7714
669	15621	7694
670	15650	7673
671	15680	7653
672	15705	7631
673	15735	7610
674	15745	7581
675	15760	7554
676	15789	7533
677	15822	7514
678	15839	7488
679	15886	7476
680	15915	7455
681	15943	7434
682	15976	7415
683	16004	7393
684	16038	7375
685	16064	7353
686	16090	7330
687	16119	7310
688	16151	7290
689	16182	7270
690	16213	7250
691	16238	7227
692	16270	7207
693	16302	7188
694	16328	7165
695	16355	7143
696	16387	7124
697	16420	7104
698	16454	7085
699	16483	7064
700	16514	7044
701	16545	7023
702	16600	7013
703	16658	7004
704	16695	6986
705	16781	6988
706	16803	6963
707	16866	6956
708	16914	6942
709	16974	6933
710	17030	6922
711	17050	6897
712	17075	6873
713	17137	6864
714	17197	6854
715	17297	6860
716	17352	6849
717	17410	6838
718	17460	6823
719	17516	6812
720	17573	6800
721	17626	6786
722	17699	6781
723	17753	6768
724	17813	6756
725	17871	6744
726	17938	6736
727	17998	6724
728	18056	6712
729	18111	6698
730	18156	6681
731	18211	6667
732	18262	6652
733	18324	6640
